year,ine_code,name,value
2012,39,Cantabria,593861.0
2012,12,Castellón/Castelló,604564.0
2012,13,Ciudad Real,530250.0
2012,14,Córdoba,804498.0
2012,15,"Coruña, A",1143911.0
2012,16,Cuenca,218036.0
2012,20,Gipuzkoa,712097.0
2012,17,Girona,761627.0
2012,18,Granada,922928.0
2012,19,Guadalajara,259537.0
2012,21,Huelva,522862.0
2012,22,Huesca,227609.0
2012,23,Jaén,670242.0
2012,24,León,494451.0
2012,25,Lleida,443032.0
2012,27,Lugo,348902.0
2012,28,Madrid,6498560.0
2012,29,Málaga,1641098.0
2012,30,Murcia,1474449.0
2012,31,Navarra,644566.0
2012,32,Ourense,330257.0
2012,34,Palencia,170713.0
2012,35,"Palmas, Las",1100813.0
2012,36,Pontevedra,958428.0
2012,26,"Rioja, La",323609.0
2012,37,Salamanca,350564.0
2012,38,Santa Cruz de Tenerife,1017531.0
2012,40,Segovia,163701.0
2012,41,Sevilla,1938974.0
2012,42,Soria,94522.0
2012,43,Tarragona,814199.0
2012,44,Teruel,143728.0
2012,45,Toledo,711228.0
2012,46,Valencia/València,2580792.0
2012,47,Valladolid,534280.0
2012,49,Zamora,191612.0
2012,50,Zaragoza,978130.0
2012,51,Ceuta,84018.0
2012,52,Melilla,80802.0
2011,2,Albacete,402318.0
2011,3,Alicante/Alacant,1934127.0
2011,4,Almería,702819.0
2011,1,Araba/Álava,319227.0
2011,33,Asturias,1081487.0
2011,5,Ávila,172704.0
2011,6,Badajoz,693921.0
2011,7,"Balears, Illes",1113114.0
2011,8,Barcelona,5529099.0
2011,48,Bizkaia,1155772.0
2011,9,Burgos,375657.0
2011,10,Cáceres,415446.0
2011,11,Cádiz,1243519.0
2011,39,Cantabria,593121.0
2011,12,Castellón/Castelló,604344.0
2011,13,Ciudad Real,530175.0
2011,14,Córdoba,805857.0
2011,15,"Coruña, A",1147124.0
2011,16,Cuenca,219138.0
2011,20,Gipuzkoa,709607.0
2011,17,Girona,756810.0
2011,18,Granada,924550.0
2011,19,Guadalajara,256461.0
2011,21,Huelva,521968.0
2011,22,Huesca,228361.0
2011,23,Jaén,670600.0
2011,24,León,497799.0
2011,25,Lleida,442308.0
2011,27,Lugo,351530.0
2011,28,Madrid,6489680.0
2011,29,Málaga,1625827.0
2011,30,Murcia,1470069.0
2011,31,Navarra,642051.0
2011,32,Ourense,333257.0
2011,34,Palencia,171668.0
2011,35,"Palmas, Las",1096980.0
2011,36,Pontevedra,963511.0
2011,26,"Rioja, La",322955.0
2011,37,Salamanca,352986.0
2011,38,Santa Cruz de Tenerife,1029789.0
2011,40,Segovia,164169.0
2011,41,Sevilla,1928962.0
2011,42,Soria,95223.0
2011,43,Tarragona,811401.0
2011,44,Teruel,144607.0
2011,45,Toledo,707242.0
2011,46,Valencia/València,2578719.0
2011,47,Valladolid,534874.0
2011,49,Zamora,193383.0
2011,50,Zaragoza,973325.0
2011,51,Ceuta,82376.0
2011,52,Melilla,78476.0
2010,2,Albacete,401682.0
2010,3,Alicante/Alacant,1926285.0
2010,4,Almería,695560.0
2010,1,Araba/Álava,317352.0
2010,33,Asturias,1084341.0
2010,5,Ávila,171896.0
2010,6,Badajoz,692137.0
2010,7,"Balears, Illes",1106049.0
2010,8,Barcelona,5511147.0
2010,48,Bizkaia,1153724.0
2010,9,Burgos,374826.0
2010,10,Cáceres,415083.0
2010,11,Cádiz,1236739.0
2010,39,Cantabria,592250.0
2010,12,Castellón/Castelló,604274.0
2010,13,Ciudad Real,529453.0
2010,14,Córdoba,805108.0
2010,15,"Coruña, A",1146458.0
2010,16,Cuenca,217716.0
2010,20,Gipuzkoa,707263.0
2010,17,Girona,753046.0
2010,18,Granada,918072.0
2010,19,Guadalajara,251563.0
2010,21,Huelva,518081.0
2010,22,Huesca,228566.0
2010,23,Jaén,670761.0
2010,24,León,499284.0
2010,25,Lleida,439768.0
2010,27,Lugo,353504.0
2010,28,Madrid,6458684.0
2010,29,Málaga,1609557.0
2010,30,Murcia,1461979.0
2010,31,Navarra,636924.0
2010,32,Ourense,335219.0
2010,34,Palencia,172510.0
2010,35,"Palmas, Las",1090605.0
2010,36,Pontevedra,962472.0
2010,26,"Rioja, La",322415.0
2010,37,Salamanca,353619.0
2010,38,Santa Cruz de Tenerife,1027914.0
2010,40,Segovia,164268.0
2010,41,Sevilla,1917097.0
2010,42,Soria,95258.0
2010,43,Tarragona,808420.0
2010,44,Teruel,145277.0
2010,45,Toledo,697959.0
2010,46,Valencia/València,2581147.0
2010,47,Valladolid,533640.0
2010,49,Zamora,194214.0
2010,50,Zaragoza,973252.0
2010,51,Ceuta,80579.0
2010,52,Melilla,76034.0
2009,2,Albacete,400891.0
2009,3,Alicante/Alacant,1917012.0
2009,4,Almería,684426.0
2009,1,Araba/Álava,313819.0
2009,33,Asturias,1085289.0
2009,5,Ávila,171680.0
2009,6,Badajoz,688777.0
2009,7,"Balears, Illes",1095426.0
2009,8,Barcelona,5487935.0
2009,48,Bizkaia,1152658.0
2009,9,Burgos,375563.0
2009,10,Cáceres,413633.0
2009,11,Cádiz,1230594.0
2009,39,Cantabria,589235.0
2009,12,Castellón/Castelló,602301.0
2009,13,Ciudad Real,527273.0
2009,14,Córdoba,803998.0
2009,15,"Coruña, A",1145488.0
2009,16,Cuenca,217363.0
2009,20,Gipuzkoa,705698.0
2009,17,Girona,747782.0
2009,18,Granada,907428.0
2009,19,Guadalajara,246151.0
2009,21,Huelva,513403.0
